polyname,bound1,bound2,bound3,bound4,iso,adm1,adm2,thresh,loss_year,area
wdpa,1,1,1,1,BRA,12,9,20,15,759.866967155
ifl_2013,1,1,1,1,BRA,12,9,50,10,13686.034693200001
wdpa,1,1,1,1,BRA,12,9,50,5,66879.3440492
landmark,1,1,1,1,BRA,12,9,25,1,6079.07030344
admin,1,1,1,1,BRA,12,9,50,17,1705660.18168
wdpa,1,1,1,1,BRA,12,9,10,10,1519.69663408
admin,1,1,1,1,BRA,12,9,25,15,175335.850859
ifl_2013__wdpa,1,1,1,1,BRA,12,9,0,10,1521.62359649
landmark,1,1,1,1,BRA,12,9,75,4,49508638.228
ifl_2013,1,1,1,1,BRA,12,9,75,5,486132.913458
ifl_2013__wdpa,1,1,1,1,BRA,12,9,30,11,760.9232160810001
admin,1,1,1,1,BRA,12,9,25,9,18979.0515319
wdpa,1,1,1,1,BRA,12,9,15,12,759.8509084310001
landmark,1,1,1,1,BRA,12,9,50,14,75335.63173060001
wdpa,1,1,1,1,BRA,12,9,15,3,1519.62815523
admin,1,1,1,1,BRA,12,9,30,5,206484.14936500002
admin,1,1,1,1,BRA,12,9,75,9,22045420.2826
wdpa,1,1,1,1,BRA,12,9,15,17,760.199540289
ifl_2013,1,1,1,1,BRA,12,9,25,16,3041.92067432
admin,1,1,1,1,BRA,12,9,0,7,144237.304893
admin,1,1,1,1,BRA,12,9,30,15,771935.8801640001
landmark,1,1,1,1,BRA,12,9,50,7,19007.9380188
wdpa,1,1,1,1,BRA,12,9,0,14,17483.6419037
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,4,1237940.6256
ifl_2013__landmark,1,1,1,1,BRA,12,9,30,7,3043.47246491
wdpa,1,1,1,1,BRA,12,9,0,15,19012.853776599997
admin,1,1,1,1,BRA,12,9,10,7,10627.313001100001
ifl_2013__wdpa,1,1,1,1,BRA,12,9,50,11,17493.1956801
ifl_2013__landmark,1,1,1,1,BRA,12,9,75,2,569498.313189
admin,1,1,1,1,BRA,12,9,10,16,228452.652173
landmark,1,1,1,1,BRA,12,9,50,13,30421.015865200003
